accession	level_1	level_2	S-121	S-122	S-123	S-124	S-125	S-126	S-127	S-128	S-129	S-130	S-131	S-132	S-133	S-134	S-135	S-136	S-137	S-138	S-139	S-140	S-141	S-142	S-143	S-144	S-145	S-146	S-147	S-148	S-149	S-150	S-151	S-152	S-153	S-154	S-155	S-156	S-157	S-158	S-159	S-160	S-161	S-162	S-163	S-164	S-165	S-166	S-167	S-168	S-169	S-170	S-171	S-172	S-173	S-174	S-175	S-176	S-177	S-178	S-179	S-180	S-181	S-182	S-183	S-184	S-185	S-186	S-187	S-188	S-189	S-190	S-191	S-192
P11832_NR	Assimilatory Nitrate Reduction	NR	321427.0	287963.0	284822.0	231272.0	278306.0	207837.0	346608.0	273354.0	231518.0	192959.0	235057.0	273842.0	216503.0	258737.0	202021.0	254733.0	246398.0	247102.0	268696.0	257643.0	255290.0	326099.0	213470.0	219030.0	234939.0	272883.0	292490.0	214047.0	283098.0	240698.0	228928.0	254637.0	218183.0	205964.0	251026.0	204761.0	274646.0	278797.0	266180.0	240691.0	166428.0	344064.0	252976.0	264349.0	274847.0	231114.0	221929.0	340279.0	222886.0	239128.0	219096.0	304944.0	215222.0	210435.0	262664.0	172983.0	218840.0	269616.0	241081.0	254323.0	274712.0	224794.0	164218.0	270720.0	225554.0	280772.0	255045.0	270757.0	279569.0	334165.0	240791.0	255954.0
T1YY48_amoA_A	Nitrification	amoA_A	6531.0	7624.0	6829.0	7205.0	6411.0	6782.0	7132.0	4478.0	4378.0	5426.0	5640.0	9369.0	6157.0	4040.0	3655.0	3360.0	3614.0	5100.0	7624.0	5894.0	6800.0	7043.0	4180.0	5921.0	7518.0	7306.0	6659.0	7170.0	7004.0	8279.0	6378.0	4415.0	2768.0	3529.0	5847.0	6824.0	6187.0	8431.0	3123.0	4953.0	2902.0	7994.0	6027.0	4674.0	4422.0	5880.0	2924.0	8142.0	4061.0	5001.0	5025.0	8947.0	4420.0	6822.0	3732.0	3108.0	2673.0	4642.0	7285.0	7774.0	4760.0	6112.0	1303.0	2914.0	4091.0	6361.0	4738.0	4562.0	4656.0	7253.0	3553.0	5752.0
J7IT82_amoA_B	Nitrification	amoA_B	1835.0	1495.0	708.0	1366.0	1492.0	2026.0	1037.0	746.0	520.0	959.0	835.0	546.0	337.0	985.0	674.0	1144.0	1522.0	938.0	1077.0	1375.0	626.0	615.0	668.0	490.0	1028.0	1660.0	965.0	558.0	1321.0	951.0	1084.0	949.0	844.0	731.0	806.0	484.0	846.0	960.0	1230.0	733.0	1046.0	1091.0	1382.0	1685.0	696.0	712.0	610.0	812.0	1224.0	772.0	794.0	1067.0	1026.0	912.0	878.0	1135.0	878.0	1793.0	748.0	254.0	1031.0	461.0	634.0	790.0	764.0	1052.0	971.0	1341.0	512.0	599.0	273.0	703.0
B0LKZ4_amoB_A	Nitrification	amoB_A	7557.0	8359.0	7787.0	5202.0	5596.0	7265.0	9385.0	4528.0	4977.0	5941.0	5876.0	8685.0	5712.0	5126.0	3279.0	4124.0	2621.0	4909.0	7801.0	5598.0	7864.0	9621.0	5443.0	5614.0	6091.0	7904.0	8754.0	8088.0	6261.0	8596.0	6520.0	4456.0	4149.0	3801.0	5755.0	8166.0	6419.0	10926.0	3293.0	4716.0	2430.0	8720.0	7120.0	5930.0	6961.0	6154.0	3273.0	12152.0	4066.0	5664.0	5514.0	9897.0	3806.0	6915.0	5028.0	3551.0	2576.0	4686.0	7380.0	8821.0	6022.0	6179.0	1156.0	3348.0	3736.0	5595.0	5501.0	4975.0	5480.0	8626.0	4670.0	7154.0
Q04508_amoB_B	Nitrification	amoB_B	1721.0	1551.0	725.0	1427.0	1286.0	1161.0	1173.0	1241.0	1293.0	1372.0	1375.0	812.0	945.0	1070.0	1126.0	1123.0	2082.0	1061.0	1518.0	1720.0	801.0	537.0	777.0	1337.0	1073.0	1720.0	956.0	573.0	1650.0	698.0	1024.0	906.0	1239.0	1483.0	851.0	471.0	934.0	1398.0	1654.0	666.0	971.0	1163.0	1182.0	1743.0	687.0	819.0	1175.0	673.0	1202.0	1255.0	1206.0	1144.0	901.0	1045.0	883.0	969.0	1313.0	1768.0	767.0	336.0	795.0	759.0	671.0	1181.0	556.0	933.0	1696.0	1602.0	591.0	705.0	158.0	711.0
A0A128A5D3_amoC_A	Nitrification	amoC_A	15762.0	11435.0	16453.0	11978.0	10267.0	10968.0	10585.0	7327.0	8276.0	11071.0	10230.0	17632.0	11912.0	9625.0	4660.0	7280.0	7492.0	11710.0	14438.0	9097.0	12972.0	18662.0	7536.0	11526.0	15728.0	11913.0	13397.0	13371.0	11825.0	12973.0	8618.0	8020.0	7947.0	8425.0	10254.0	18210.0	12210.0	17054.0	5407.0	8448.0	6141.0	17317.0	12890.0	10395.0	10302.0	14036.0	5434.0	23402.0	8690.0	9720.0	10300.0	15084.0	7101.0	11858.0	7950.0	5407.0	7895.0	8842.0	12553.0	19117.0	11233.0	11013.0	1908.0	6331.0	8442.0	15232.0	9484.0	8661.0	10351.0	17436.0	5918.0	11287.0
A0A0S4KU20_amoC_B	Nitrification	amoC_B	3292.0	2398.0	2114.0	2552.0	2116.0	2551.0	1925.0	1889.0	2219.0	2255.0	2451.0	1893.0	1580.0	2125.0	1883.0	2768.0	4522.0	2183.0	3936.0	4032.0	1296.0	1221.0	1081.0	1802.0	2872.0	2641.0	2323.0	1395.0	2490.0	1079.0	2386.0	1764.0	1540.0	1652.0	1587.0	1089.0	2038.0	3128.0	2335.0	1841.0	1758.0	2415.0	2089.0	4407.0	1471.0	784.0	1093.0	1182.0	2504.0	1496.0	1700.0	3130.0	2046.0	2009.0	1756.0	1892.0	1512.0	3190.0	1450.0	560.0	2199.0	1635.0	1317.0	1371.0	1762.0	1339.0	3301.0	2713.0	1412.0	1411.0	663.0	975.0
A0A0E3P7A1_anfG	N Fixation	anfG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10172_ansB	Organic Degradation and Synthesis	ansB	72042.0	67752.0	72644.0	55980.0	64338.0	51134.0	85733.0	64510.0	50089.0	43901.0	63165.0	70230.0	53798.0	70598.0	40123.0	49028.0	59812.0	60030.0	65286.0	62102.0	69903.0	82322.0	45818.0	51647.0	56790.0	62269.0	72609.0	56147.0	72104.0	58792.0	59202.0	59142.0	50150.0	44654.0	70245.0	51515.0	71390.0	71784.0	46751.0	46360.0	40098.0	81523.0	62139.0	56191.0	69733.0	54514.0	50879.0	83661.0	49876.0	51353.0	54562.0	75274.0	51759.0	49624.0	63644.0	39548.0	46174.0	53765.0	66148.0	61931.0	72854.0	59783.0	32227.0	51137.0	53127.0	65195.0	55882.0	64541.0	68667.0	84277.0	55977.0	60597.0
P54420_asnB	Organic Degradation and Synthesis	asnB	695219.0	645353.0	611206.0	459686.0	599520.0	467019.0	776713.0	551915.0	490640.0	445016.0	455009.0	590583.0	465340.0	522005.0	422923.0	565582.0	474598.0	516888.0	583410.0	574893.0	538253.0	697126.0	441218.0	466637.0	543934.0	649634.0	628241.0	442287.0	622823.0	528352.0	494536.0	539310.0	452763.0	414565.0	517233.0	451014.0	574712.0	641218.0	563268.0	547954.0	343624.0	752401.0	569232.0	566919.0	589633.0	489254.0	436604.0	786755.0	455673.0	493631.0	440026.0	630785.0	447962.0	453264.0	555325.0	353385.0	435169.0	564491.0	520811.0	535194.0	589228.0	473626.0	324993.0	585316.0	488271.0	580040.0	521048.0	571825.0	589092.0	715599.0	494533.0	559945.0
