accession	level_1	level_2	S-121	S-122	S-123	S-124	S-125	S-126	S-127	S-128	S-129	S-130	S-131	S-132	S-133	S-134	S-135	S-136	S-137	S-138	S-139	S-140	S-141	S-142	S-143	S-144	S-145	S-146	S-147	S-148	S-149	S-150	S-151	S-152	S-153	S-154	S-155	S-156	S-157	S-158	S-159	S-160	S-161	S-162	S-163	S-164	S-165	S-166	S-167	S-168	S-169	S-170	S-171	S-172	S-173	S-174	S-175	S-176	S-177	S-178	S-179	S-180	S-181	S-182	S-183	S-184	S-185	S-186	S-187	S-188	S-189	S-190	S-191	S-192
P11832_NR	Assimilatory Nitrate Reduction	NR	33105.0	29808.0	29394.0	23616.0	28667.0	21438.0	36481.0	28395.0	23008.0	19479.0	23805.0	28221.0	22166.0	27070.0	20176.0	27147.0	26055.0	26604.0	28564.0	26337.0	26333.0	33916.0	21584.0	22441.0	23695.0	28214.0	30598.0	21719.0	29637.0	24630.0	23421.0	25818.0	22971.0	20099.0	25165.0	26045.0	28546.0	29835.0	27901.0	24990.0	20519.0	37120.0	25909.0	26853.0	28513.0	23872.0	23126.0	35383.0	22853.0	24223.0	22721.0	30725.0	21968.0	21586.0	27438.0	20074.0	22355.0	27317.0	24945.0	26643.0	28221.0	22870.0	20278.0	28178.0	23282.0	28897.0	25850.0	27830.0	28907.0	35129.0	24999.0	26180.0
T1YY48_amoA_A	Nitrification	amoA_A	567.0	567.0	586.0	499.0	523.0	491.0	593.0	350.0	425.0	453.0	403.0	712.0	460.0	408.0	281.0	379.0	300.0	457.0	578.0	463.0	497.0	705.0	319.0	489.0	608.0	585.0	582.0	529.0	540.0	593.0	477.0	383.0	346.0	378.0	484.0	713.0	490.0	636.0	296.0	442.0	323.0	753.0	484.0	420.0	453.0	479.0	277.0	764.0	371.0	407.0	426.0	614.0	329.0	567.0	373.0	291.0	275.0	415.0	544.0	741.0	450.0	446.0	124.0	307.0	352.0	533.0	348.0	406.0	389.0	576.0	327.0	477.0
J7IT82_amoA_B	Nitrification	amoA_B	122.0	113.0	55.0	114.0	114.0	152.0	105.0	93.0	69.0	89.0	85.0	50.0	31.0	74.0	53.0	89.0	165.0	81.0	114.0	152.0	40.0	48.0	47.0	66.0	99.0	143.0	75.0	31.0	109.0	84.0	89.0	90.0	82.0	68.0	42.0	53.0	56.0	94.0	113.0	72.0	117.0	96.0	112.0	181.0	66.0	52.0	46.0	58.0	116.0	81.0	67.0	95.0	84.0	87.0	83.0	103.0	83.0	159.0	74.0	20.0	72.0	47.0	68.0	59.0	60.0	93.0	78.0	125.0	49.0	56.0	31.0	67.0
B0LKZ4_amoB_A	Nitrification	amoB_A	532.0	547.0	563.0	439.0	448.0	472.0	572.0	366.0	418.0	444.0	397.0	605.0	445.0	370.0	240.0	309.0	290.0	401.0	539.0	398.0	511.0	645.0	338.0	430.0	492.0	544.0	538.0	493.0	497.0	581.0	456.0	328.0	347.0	309.0	445.0	692.0	462.0	683.0	233.0	398.0	254.0	665.0	473.0	423.0	476.0	474.0	230.0	770.0	316.0	389.0	397.0	616.0	304.0	420.0	341.0	286.0	220.0	370.0	493.0	688.0	386.0	453.0	129.0	253.0	310.0	450.0	365.0	379.0	361.0	593.0	312.0	489.0
Q04508_amoB_B	Nitrification	amoB_B	182.0	153.0	60.0	149.0	124.0	155.0	135.0	118.0	157.0	168.0	116.0	78.0	76.0	102.0	106.0	141.0	207.0	119.0	173.0	199.0	54.0	65.0	59.0	96.0	109.0	171.0	117.0	52.0	163.0	65.0	112.0	124.0	132.0	115.0	72.0	60.0	75.0	137.0	182.0	93.0	151.0	128.0	139.0	216.0	81.0	64.0	112.0	70.0	133.0	155.0	104.0	98.0	82.0	112.0	68.0	130.0	125.0	214.0	55.0	47.0	64.0	82.0	79.0	116.0	64.0	97.0	178.0	167.0	58.0	77.0	10.0	76.0
A0A128A5D3_amoC_A	Nitrification	amoC_A	820.0	680.0	886.0	630.0	663.0	620.0	717.0	445.0	556.0	679.0	601.0	914.0	648.0	562.0	358.0	474.0	431.0	709.0	730.0	580.0	693.0	920.0	370.0	648.0	852.0	636.0	751.0	679.0	643.0	723.0	549.0	465.0	506.0	481.0	634.0	1141.0	670.0	929.0	385.0	523.0	463.0	981.0	700.0	558.0	583.0	727.0	373.0	1129.0	557.0	544.0	591.0	816.0	428.0	608.0	484.0	355.0	401.0	546.0	696.0	989.0	644.0	623.0	174.0	434.0	484.0	775.0	539.0	505.0	521.0	866.0	378.0	606.0
A0A0S4KU20_amoC_B	Nitrification	amoC_B	275.0	224.0	168.0	213.0	165.0	238.0	184.0	147.0	172.0	204.0	175.0	141.0	116.0	182.0	176.0	256.0	273.0	164.0	262.0	285.0	106.0	101.0	99.0	166.0	237.0	234.0	201.0	132.0	198.0	103.0	181.0	148.0	145.0	146.0	147.0	122.0	164.0	262.0	217.0	149.0	191.0	198.0	199.0	346.0	137.0	76.0	103.0	114.0	214.0	143.0	140.0	235.0	172.0	143.0	146.0	174.0	113.0	235.0	123.0	57.0	150.0	149.0	126.0	133.0	156.0	116.0	251.0	221.0	118.0	105.0	48.0	104.0
A0A0E3P7A1_anfG	N Fixation	anfG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10172_ansB	Organic Degradation and Synthesis	ansB	5818.0	5533.0	6000.0	4533.0	5229.0	3985.0	6966.0	5196.0	3886.0	3526.0	5136.0	5851.0	4426.0	5657.0	3090.0	3927.0	4686.0	4864.0	5479.0	4892.0	5711.0	6767.0	3709.0	4266.0	4568.0	5081.0	6095.0	4625.0	5597.0	4683.0	4637.0	4563.0	4093.0	3658.0	5747.0	5376.0	5777.0	5968.0	3653.0	3686.0	3791.0	6541.0	5108.0	4434.0	5691.0	4576.0	4169.0	7159.0	4242.0	4177.0	4400.0	6175.0	4083.0	3939.0	5032.0	3493.0	3673.0	4293.0	5407.0	5372.0	5958.0	4851.0	2847.0	4057.0	4130.0	5077.0	4575.0	5144.0	5523.0	7053.0	4470.0	4950.0
P54420_asnB	Organic Degradation and Synthesis	asnB	64430.0	60316.0	55743.0	42163.0	55032.0	42857.0	73830.0	50973.0	44077.0	40570.0	40800.0	53587.0	42090.0	47557.0	38810.0	55048.0	44063.0	49764.0	55019.0	52009.0	49570.0	65274.0	40061.0	43393.0	49287.0	59987.0	58765.0	40254.0	57665.0	48287.0	44969.0	49398.0	42425.0	36849.0	46403.0	51561.0	53012.0	60086.0	52835.0	51900.0	37899.0	70649.0	51897.0	51202.0	54010.0	45744.0	40290.0	74127.0	41665.0	45033.0	40506.0	58253.0	40643.0	41394.0	51272.0	37035.0	39403.0	51297.0	46948.0	50712.0	53594.0	43226.0	34493.0	55207.0	44414.0	53516.0	47856.0	52525.0	54265.0	67888.0	45388.0	52199.0
P39633_gdh_K00260	Organic Degradation and Synthesis	gdh_K00260	403.0	510.0	318.0	348.0	472.0	393.0	745.0	491.0	371.0	399.0	264.0	500.0	313.0	391.0	617.0	559.0	496.0	454.0	502.0	423.0	459.0	473.0	320.0	347.0	482.0	424.0	405.0	303.0	518.0	394.0	490.0	431.0	387.0	377.0	475.0	499.0	454.0	446.0	515.0	532.0	606.0	559.0	477.0	525.0	411.0	405.0	342.0	484.0	273.0	328.0	425.0	468.0	366.0	423.0	402.0	382.0	357.0	512.0	303.0	477.0	436.0	341.0	343.0	661.0	374.0	384.0	365.0	389.0	351.0	540.0	335.0	438.0
Q43314_gdh_K00261	Organic Degradation and Synthesis	gdh_K00261	21923.0	19514.0	18305.0	15175.0	18086.0	14708.0	22974.0	16745.0	15447.0	14245.0	14813.0	17974.0	15103.0	17020.0	14234.0	17807.0	15845.0	16409.0	18302.0	17010.0	16410.0	20794.0	13930.0	15036.0	17586.0	19684.0	18917.0	14208.0	18591.0	15645.0	15841.0	16081.0	15137.0	13528.0	15716.0	17469.0	17216.0	18751.0	17907.0	17064.0	13363.0	22158.0	17629.0	17403.0	17660.0	15220.0	14332.0	24408.0	15010.0	15923.0	14215.0	19486.0	14166.0	13957.0	17215.0	13079.0	13611.0	17755.0	15681.0	17836.0	17615.0	14742.0	11768.0	18077.0	14114.0	17221.0	16146.0	17715.0	18133.0	21286.0	15837.0	17402.0
P94316_gdh_K00262	Organic Degradation and Synthesis	gdh_K00262	14999.0	13182.0	12860.0	9792.0	13363.0	10203.0	17070.0	12427.0	10238.0	9012.0	9567.0	11646.0	9306.0	11599.0	9887.0	13365.0	11937.0	13031.0	12770.0	11801.0	12522.0	16305.0	10399.0	10615.0	11290.0	13097.0	12690.0	8671.0	13794.0	11749.0	10823.0	10965.0	9707.0	8618.0	10315.0	10671.0	12183.0	14071.0	13364.0	12920.0	9719.0	18667.0	11706.0	11824.0	13447.0	11741.0	11516.0	19274.0	9375.0	10388.0	9129.0	13402.0	9606.0	9609.0	12434.0	8620.0	9431.0	12752.0	10517.0	10878.0	12012.0	9967.0	7671.0	14317.0	10526.0	14367.0	10554.0	12597.0	12866.0	17095.0	11976.0	13647.0
E1V4J5_gdh_K15371	Organic Degradation and Synthesis	gdh_K15371	43629.0	37328.0	36835.0	30715.0	35761.0	27216.0	43120.0	38152.0	30083.0	23120.0	30909.0	37592.0	28940.0	35662.0	28154.0	33278.0	35047.0	32952.0	36868.0	33887.0	30439.0	41077.0	25330.0	26456.0	30437.0	34623.0	37837.0	27343.0	34701.0	29935.0	29352.0	32774.0	30365.0	26010.0	30869.0	31642.0	34393.0	33416.0	37146.0	30394.0	26552.0	40735.0	33273.0	35206.0	32617.0	28717.0	28363.0	38870.0	30707.0	31839.0	28636.0	38765.0	27717.0	26918.0	33356.0	25946.0	28999.0	37238.0	30987.0	34171.0	36490.0	28182.0	27589.0	36102.0	27676.0	34881.0	33813.0	36453.0	34948.0	41521.0	30533.0	32522.0
