accession	level_1	level_2	S-121	S-122	S-123	S-124	S-125	S-126	S-127	S-128	S-129	S-130	S-131	S-132	S-133	S-134	S-135	S-136	S-137	S-138	S-139	S-140	S-141	S-142	S-143	S-144	S-145	S-146	S-147	S-148	S-149	S-150	S-151	S-152	S-153	S-154	S-155	S-156	S-157	S-158	S-159	S-160	S-161	S-162	S-163	S-164	S-165	S-166	S-167	S-168	S-169	S-170	S-171	S-172	S-173	S-174	S-175	S-176	S-177	S-178	S-179	S-180	S-181	S-182	S-183	S-184	S-185	S-186	S-187	S-188	S-189	S-190	S-191	S-192
tcc:18600133_ADE2	Purine metabolism	ADE2	305243.0	128568.0	95142.0	102887.0	129810.0	123297.0	165107.0	203777.0	240014.0	182212.0	113780.0	143394.0	81298.0	80742.0	198820.0	411000.0	169391.0	140833.0	119187.0	244486.0	96244.0	122446.0	191700.0	91158.0	108505.0	92164.0	73933.0	54388.0	98526.0	72168.0	120899.0	108131.0	129115.0	93294.0	68948.0	85178.0	75920.0	82914.0	157146.0	87833.0	63427.0	135431.0	85825.0	76447.0	75721.0	56202.0	90743.0	107134.0	72554.0	190357.0	52262.0	72494.0	97031.0	49920.0	76620.0	47539.0	89546.0	116008.0	59159.0	97288.0	57686.0	53593.0	55929.0	238311.0	73028.0	73021.0	76914.0	67287.0	63166.0	91100.0	100810.0	148288.0
tbw:NCTC13354_00838_RegX3	Two-component system	RegX3	2937286.0	950516.0	1190480.0	786460.0	885848.0	706022.0	1346135.0	1134975.0	1022069.0	650878.0	933608.0	1230291.0	730017.0	987810.0	630702.0	2018274.0	795122.0	797917.0	927081.0	1007705.0	830721.0	1246053.0	880063.0	723915.0	955062.0	1048109.0	927669.0	600750.0	922071.0	854035.0	729027.0	1084413.0	772165.0	680140.0	818217.0	1114662.0	941170.0	920157.0	825680.0	749172.0	523955.0	1126681.0	865017.0	782340.0	923175.0	747954.0	733693.0	1223230.0	796464.0	2203889.0	685342.0	962813.0	740820.0	692266.0	842574.0	637468.0	970849.0	1242925.0	824863.0	1173593.0	854583.0	788230.0	445743.0	2290334.0	953960.0	874184.0	829506.0	880750.0	904880.0	1458495.0	803203.0	863285.0
tbw:NCTC13354_00839_SenX3	Two-component system	SenX3	516032.0	155178.0	178626.0	120338.0	143269.0	112892.0	217887.0	210923.0	180838.0	104158.0	144928.0	198854.0	110537.0	162028.0	110933.0	348008.0	138411.0	133635.0	149822.0	168594.0	113910.0	195828.0	146235.0	107244.0	150766.0	170874.0	147677.0	91944.0	148212.0	132304.0	113580.0	191400.0	134849.0	117429.0	124648.0	166280.0	140717.0	135689.0	151477.0	130265.0	84592.0	197184.0	138827.0	134213.0	136131.0	113965.0	125421.0	190695.0	121857.0	351550.0	102970.0	161917.0	107158.0	113822.0	134730.0	104655.0	169074.0	225716.0	123125.0	191878.0	129494.0	122610.0	77479.0	435187.0	136161.0	151704.0	128422.0	163085.0	142573.0	221637.0	136471.0	145106.0
tab:CIG75_19630_adk	Purine metabolism	adk	2073559.0	674106.0	773838.0	547629.0	638226.0	506809.0	960811.0	856617.0	821831.0	555073.0	672088.0	838908.0	505815.0	662776.0	510076.0	1530726.0	617250.0	594823.0	656006.0	800178.0	559168.0	851618.0	703170.0	501135.0	686866.0	710581.0	633310.0	424842.0	649029.0	592510.0	529856.0	756433.0	558556.0	487819.0	552213.0	754059.0	653874.0	626885.0	612288.0	520523.0	377863.0	768852.0	606383.0	543700.0	604765.0	505071.0	520968.0	804479.0	546339.0	1518141.0	453293.0	663929.0	518405.0	472147.0	594004.0	435487.0	696740.0	830435.0	544252.0	779694.0	570609.0	512403.0	319697.0	1546915.0	638471.0	585278.0	576967.0	603017.0	612670.0	939635.0	593386.0	607237.0
IMGID650445803_Pseudomonas_putida_BIRD_1_aepP	Transporters	aepP	705.0	774.0	883.0	57.0	717.0	115.0	840.0	1449.0	1356.0	548.0	385.0	NA	319.0	254.0	342.0	1579.0	1134.0	412.0	221.0	967.0	332.0	1153.0	1053.0	NA	519.0	106.0	131.0	365.0	760.0	646.0	227.0	437.0	1624.0	695.0	926.0	374.0	345.0	346.0	978.0	584.0	317.0	674.0	356.0	200.0	485.0	NA	687.0	536.0	307.0	1450.0	260.0	594.0	NA	101.0	276.0	573.0	1666.0	1169.0	259.0	457.0	617.0	163.0	472.0	2039.0	989.0	1095.0	762.0	157.0	286.0	450.0	436.0	393.0
IMGID650446572_Pseudomonas_putida_BIRD_1_aepS	Transporters	aepS	1104.0	254.0	486.0	473.0	NA	159.0	341.0	NA	NA	NA	298.0	520.0	531.0	NA	NA	NA	233.0	247.0	241.0	NA	368.0	358.0	249.0	NA	201.0	NA	345.0	346.0	468.0	148.0	211.0	NA	NA	NA	NA	273.0	395.0	191.0	NA	NA	73.0	NA	NA	128.0	305.0	328.0	NA	397.0	247.0	552.0	465.0	400.0	NA	NA	522.0	NA	NA	NA	512.0	NA	158.0	47.0	89.0	310.0	606.0	36.0	517.0	476.0	NA	494.0	235.0	247.0
WP_003249040.1_aepV	Transporters	aepV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133.0	NA	NA	NA	NA	NA	NA	NA	134.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_010955672.1_aepW	Transporters	aepW	1364.0	1337.0	463.0	64.0	305.0	133.0	1003.0	463.0	892.0	362.0	866.0	1659.0	1265.0	795.0	445.0	731.0	240.0	396.0	561.0	829.0	902.0	282.0	862.0	217.0	1163.0	671.0	819.0	712.0	595.0	542.0	301.0	439.0	462.0	710.0	1198.0	1142.0	267.0	1039.0	372.0	1033.0	242.0	355.0	542.0	175.0	736.0	182.0	458.0	684.0	1073.0	1860.0	269.0	1078.0	466.0	99.0	390.0	462.0	947.0	429.0	213.0	289.0	916.0	976.0	168.0	1739.0	427.0	627.0	463.0	204.0	170.0	497.0	190.0	551.0
238921672_aepX	Transporters	aepX	20187.0	5981.0	10655.0	7231.0	6708.0	6458.0	11170.0	6729.0	5353.0	4017.0	7910.0	8803.0	7395.0	8360.0	2625.0	8908.0	3707.0	4077.0	7087.0	9155.0	7579.0	12629.0	5350.0	5326.0	8102.0	8817.0	8673.0	5006.0	7607.0	8406.0	7538.0	6768.0	3912.0	2830.0	9206.0	12624.0	7095.0	7984.0	4054.0	4132.0	3734.0	7132.0	7925.0	5451.0	10913.0	7925.0	4094.0	10210.0	6745.0	14882.0	7483.0	8521.0	7922.0	6340.0	6421.0	5590.0	8016.0	6278.0	8062.0	9136.0	9967.0	6250.0	2100.0	7218.0	8236.0	6256.0	7356.0	7361.0	9922.0	13791.0	5871.0	5031.0
tci:A7K98_18635_aphA	Organic phosphoester hydrolysis	aphA	1071.0	549.0	393.0	545.0	449.0	250.0	1004.0	191.0	925.0	551.0	531.0	757.0	456.0	576.0	173.0	2164.0	390.0	803.0	442.0	611.0	178.0	562.0	699.0	80.0	113.0	774.0	334.0	197.0	599.0	513.0	402.0	882.0	928.0	542.0	279.0	159.0	579.0	588.0	424.0	544.0	517.0	1212.0	399.0	460.0	682.0	380.0	303.0	800.0	77.0	826.0	388.0	593.0	417.0	400.0	752.0	385.0	1198.0	899.0	240.0	499.0	316.0	202.0	270.0	1526.0	782.0	741.0	615.0	713.0	687.0	518.0	176.0	561.0
1005995.GTPT_1353_appA	Organic phosphoester hydrolysis	appA	7565.0	1769.0	4208.0	2145.0	2320.0	1202.0	3540.0	2217.0	630.0	882.0	1816.0	4083.0	2992.0	2862.0	623.0	3133.0	1124.0	1603.0	2056.0	2546.0	3492.0	6103.0	2237.0	1816.0	2887.0	2079.0	2738.0	1477.0	2081.0	2427.0	1341.0	1617.0	1251.0	1135.0	2599.0	3890.0	2945.0	2348.0	1173.0	1302.0	739.0	1898.0	1814.0	2211.0	3383.0	2018.0	1770.0	2877.0	3005.0	3612.0	2908.0	2539.0	1659.0	1322.0	2830.0	1202.0	2073.0	1591.0	2772.0	3597.0	3230.0	2039.0	642.0	3605.0	1705.0	1764.0	2837.0	2469.0	4029.0	5611.0	2064.0	2296.0
tab:CIG75_09345_cmk	Pyrimidine metabolism	cmk	2813366.0	882794.0	1054907.0	711238.0	841539.0	643433.0	1297256.0	1103569.0	957565.0	598936.0	871771.0	1127242.0	665539.0	913320.0	572745.0	1925260.0	754461.0	761669.0	827031.0	929433.0	750257.0	1165395.0	853948.0	657617.0	910071.0	1008032.0	849217.0	560587.0	854293.0	814460.0	670687.0	1025708.0	682061.0	636528.0	752906.0	1034139.0	874029.0	810600.0	807429.0	705641.0	480970.0	1034214.0	792409.0	733074.0	804930.0	683843.0	692296.0	1178444.0	711828.0	2040041.0	609001.0	904021.0	646446.0	633873.0	762993.0	603277.0	922039.0	1161864.0	728698.0	1065624.0	769034.0	717351.0	413062.0	2214170.0	830614.0	839822.0	755200.0	849527.0	821468.0	1344483.0	794097.0	799202.0
tac:Ta0598_dcd	Pyrimidine metabolism	dcd	599895.0	186396.0	230175.0	157499.0	185074.0	140672.0	270606.0	243023.0	222986.0	133198.0	194975.0	249740.0	153473.0	195378.0	129758.0	423536.0	163566.0	161396.0	190595.0	215063.0	160681.0	233780.0	173007.0	137977.0	197540.0	211439.0	181487.0	120554.0	187241.0	175437.0	147430.0	224341.0	159471.0	148877.0	161520.0	216514.0	192541.0	172994.0	172911.0	148806.0	106383.0	212042.0	179006.0	162297.0	176749.0	142099.0	149249.0	225687.0	160538.0	447842.0	140915.0	191155.0	145418.0	143722.0	172079.0	135644.0	212719.0	258167.0	162269.0	228167.0	172569.0	156696.0	95188.0	480643.0	183480.0	181432.0	174349.0	188641.0	186204.0	268613.0	171709.0	161713.0
tab:CIG75_08575_deoB	Pentose phosphate pathway	deoB	294859.0	92999.0	116474.0	71584.0	77939.0	64721.0	125066.0	95232.0	92933.0	61582.0	81527.0	114858.0	70314.0	80062.0	57209.0	186003.0	63972.0	71586.0	82638.0	93998.0	73084.0	105022.0	80539.0	66232.0	96546.0	109669.0	90632.0	56283.0	81438.0	81584.0	62352.0	99085.0	62175.0	59769.0	74560.0	109425.0	91410.0	85379.0	71741.0	65162.0	43388.0	99043.0	78081.0	76113.0	79426.0	65491.0	61945.0	112780.0	72743.0	195027.0	63474.0	100881.0	64712.0	61498.0	75298.0	61798.0	81343.0	108217.0	77682.0	114062.0	79151.0	78045.0	37695.0	207978.0	78933.0	74721.0	73745.0	81062.0	84015.0	128490.0	71608.0	78112.0
1000565.METUNv1_01878_dut	Pyrimidine metabolism	dut	1016960.0	412492.0	359503.0	299979.0	316363.0	333234.0	502133.0	527255.0	497949.0	426880.0	319469.0	417451.0	264480.0	264406.0	454688.0	1040820.0	446271.0	403479.0	328029.0	645195.0	304184.0	418863.0	520290.0	264651.0	320784.0	311101.0	274333.0	204589.0	295551.0	278073.0	308149.0	351320.0	348181.0	262766.0	237118.0	327142.0	278575.0	306331.0	410490.0	272116.0	185219.0	391630.0	274888.0	248025.0	262207.0	209749.0	247820.0	372860.0	231315.0	637169.0	176153.0	280887.0	255745.0	188490.0	250967.0	179211.0	290651.0	370703.0	215196.0	345980.0	211245.0	211076.0	152785.0	712397.0	261374.0	247603.0	236183.0	241044.0	263081.0	389973.0	270515.0	350196.0
1461693.ATO10_09898_fomC	Phosphonate and phosphinate metabolism	fomC	54515.0	17742.0	16189.0	11528.0	12860.0	9815.0	23058.0	21764.0	14463.0	8876.0	17032.0	19883.0	11004.0	16086.0	9071.0	26780.0	14910.0	13148.0	17146.0	14356.0	13479.0	23365.0	13007.0	9364.0	12672.0	17256.0	18061.0	9416.0	13402.0	13291.0	11017.0	21336.0	11803.0	9980.0	11413.0	18204.0	14015.0	13195.0	16130.0	13780.0	8877.0	17395.0	16104.0	10177.0	15457.0	11024.0	10850.0	22754.0	12346.0	43209.0	9037.0	15951.0	11449.0	9237.0	13748.0	9498.0	16854.0	18502.0	12182.0	18104.0	12688.0	13217.0	7338.0	35224.0	15949.0	14152.0	15722.0	15604.0	14784.0	25826.0	13075.0	14247.0
taw:EI545_04265_gcd	Pentose phosphate pathway	gcd	3340841.0	1091544.0	1566323.0	964291.0	974348.0	753425.0	1596413.0	1079878.0	993162.0	737901.0	1163517.0	1536381.0	969491.0	1143563.0	492022.0	1870504.0	651203.0	783430.0	994805.0	1178154.0	1078989.0	1523238.0	897717.0	795704.0	1160634.0	1254821.0	1329895.0	795440.0	1086149.0	994850.0	846828.0	1166745.0	700115.0	659661.0	1122622.0	1493455.0	1314739.0	1317209.0	706409.0	676479.0	487007.0	1187121.0	1048052.0	871588.0	1264052.0	906418.0	673178.0	1427100.0	898736.0	2111754.0	883846.0	1275917.0	821315.0	753211.0	1049140.0	685734.0	1009773.0	1130120.0	1188776.0	1447885.0	1161113.0	1042877.0	371272.0	2057641.0	1085467.0	854702.0	940851.0	986043.0	1197911.0	1819860.0	830366.0	861954.0
taa:NMY3_00086_gdh	Pentose phosphate pathway	gdh	1586194.0	505328.0	608404.0	393977.0	473931.0	365883.0	719752.0	639671.0	538664.0	324389.0	469748.0	644964.0	377068.0	482658.0	324597.0	1118500.0	424505.0	432770.0	483303.0	512354.0	401277.0	662569.0	455789.0	355196.0	487205.0	568944.0	470511.0	318266.0	476357.0	440080.0	355014.0	578884.0	397364.0	357944.0	411840.0	591120.0	488866.0	467115.0	444205.0	377772.0	265289.0	613025.0	447669.0	422970.0	453544.0	385438.0	362647.0	612600.0	405684.0	1176376.0	352946.0	518336.0	371823.0	355281.0	448243.0	343388.0	520848.0	684173.0	409121.0	599330.0	437523.0	399859.0	242213.0	1245133.0	485185.0	476175.0	435046.0	481364.0	452673.0	762432.0	414089.0	451857.0
tab:CIG75_11850_glpQ	Organic phosphoester hydrolysis	glpQ	1049653.0	314910.0	376776.0	257273.0	285598.0	215286.0	444913.0	404462.0	324985.0	185859.0	311566.0	414740.0	242266.0	358868.0	180552.0	625865.0	281149.0	257303.0	312046.0	332359.0	256376.0	452064.0	281593.0	241809.0	305972.0	340125.0	300304.0	198587.0	278885.0	269820.0	221032.0	364032.0	234573.0	220714.0	254897.0	352115.0	310606.0	283188.0	269472.0	226688.0	159581.0	348153.0	278613.0	264957.0	286799.0	253241.0	239710.0	411506.0	255573.0	770469.0	214237.0	341050.0	221337.0	213147.0	270605.0	196640.0	292202.0	404784.0	248307.0	400823.0	278391.0	252521.0	148309.0	735558.0	276800.0	297737.0	278352.0	314285.0	297666.0	505570.0	272901.0	288068.0
tbw:NCTC13354_00487_glpT	Transporters	glpT	91065.0	31443.0	39384.0	26099.0	30775.0	22593.0	52685.0	38162.0	32637.0	24328.0	32237.0	37616.0	22939.0	37456.0	18033.0	72683.0	25599.0	28491.0	34355.0	37128.0	31536.0	54758.0	28496.0	26987.0	30985.0	36344.0	32455.0	16733.0	40178.0	32112.0	26296.0	41080.0	21863.0	21426.0	28096.0	37346.0	36373.0	35859.0	25501.0	23116.0	19400.0	48155.0	27139.0	28043.0	37502.0	29727.0	22906.0	51795.0	22839.0	69093.0	23754.0	35512.0	24601.0	22232.0	29642.0	21763.0	30202.0	33994.0	27633.0	38066.0	30137.0	22465.0	11862.0	78646.0	35309.0	35124.0	24417.0	28871.0	32527.0	60990.0	30165.0	28105.0
taci:TDSAC_1074_gmk	Purine metabolism	gmk	642445.0	205922.0	235716.0	163403.0	198836.0	144482.0	302899.0	249476.0	230940.0	147643.0	189414.0	246767.0	148202.0	203435.0	141688.0	463755.0	176965.0	164413.0	200750.0	221117.0	168148.0	255313.0	195838.0	147101.0	213633.0	229925.0	189610.0	128217.0	206556.0	184410.0	157288.0	238772.0	159779.0	148218.0	163893.0	230836.0	194445.0	184124.0	196473.0	166863.0	112776.0	235919.0	191127.0	173734.0	185208.0	148486.0	160077.0	261783.0	166537.0	453867.0	135516.0	204710.0	149840.0	147427.0	185844.0	140755.0	211034.0	275292.0	163927.0	232779.0	170238.0	157146.0	96880.0	522337.0	201937.0	182925.0	175051.0	199459.0	186350.0	296956.0	185462.0	174258.0
tal:Thal_1580_gnd	Pentose phosphate pathway	gnd	2155326.0	707390.0	837970.0	554758.0	673871.0	548399.0	1053875.0	858836.0	786539.0	521246.0	662436.0	858971.0	546354.0	678082.0	475070.0	1627027.0	577683.0	628862.0	674661.0	757679.0	618243.0	930788.0	676607.0	551735.0	698631.0	814586.0	676547.0	442992.0	717931.0	649960.0	552628.0	851257.0	571962.0	522930.0	606682.0	799053.0	706880.0	680721.0	642476.0	583362.0	396324.0	894185.0	658157.0	579055.0	673161.0	563348.0	550725.0	938536.0	565658.0	1648420.0	495768.0	714462.0	551055.0	529598.0	649096.0	504477.0	762033.0	900608.0	585469.0	829951.0	627089.0	579516.0	338695.0	1862762.0	734441.0	677380.0	605971.0	679010.0	683966.0	1085179.0	614441.0	652641.0
ttf:THTE_1497_gnl	Pentose phosphate pathway	gnl	2334198.0	721435.0	904087.0	583065.0	678322.0	507208.0	1061730.0	897858.0	755917.0	472221.0	738243.0	956090.0	558356.0	764423.0	418865.0	1515169.0	589472.0	590721.0	701403.0	779752.0	626727.0	1000535.0	627220.0	510069.0	726609.0	802085.0	754741.0	471016.0	714397.0	640789.0	558671.0	839753.0	559880.0	493307.0	624852.0	851911.0	754373.0	744211.0	603025.0	511482.0	377691.0	837289.0	688498.0	581282.0	738944.0	573754.0	543544.0	937027.0	604029.0	1676367.0	528963.0	762065.0	560456.0	496378.0	713197.0	468469.0	756168.0	856771.0	632296.0	873215.0	687260.0	588684.0	337681.0	1669160.0	735512.0	651105.0	647635.0	715594.0	742514.0	1157952.0	624343.0	594949.0
