accession	level_1	level_2	S-121	S-122	S-123	S-124	S-125	S-126	S-127	S-128	S-129	S-130	S-131	S-132	S-133	S-134	S-135	S-136	S-137	S-138	S-139	S-140	S-141	S-142	S-143	S-144	S-145	S-146	S-147	S-148	S-149	S-150	S-151	S-152	S-153	S-154	S-155	S-156	S-157	S-158	S-159	S-160	S-161	S-162	S-163	S-164	S-165	S-166	S-167	S-168	S-169	S-170	S-171	S-172	S-173	S-174	S-175	S-176	S-177	S-178	S-179	S-180	S-181	S-182	S-183	S-184	S-185	S-186	S-187	S-188	S-189	S-190	S-191	S-192
taw:EI545_13175_acuI	Organic sulphur transformation	acuI	1292107.0	1118500.0	1263064.0	796915.0	1264613.0	798159.0	1833348.0	1036615.0	1055211.0	752214.0	740721.0	976310.0	905334.0	1155516.0	1172887.0	1339519.0	933985.0	1514520.0	1329618.0	1044164.0	877126.0	1459821.0	955308.0	761140.0	1002256.0	1008327.0	1043663.0	963081.0	1050347.0	857805.0	1085460.0	984966.0	1013173.0	739921.0	1060893.0	928628.0	901153.0	1036406.0	1552876.0	1063494.0	838842.0	1561093.0	1137531.0	1000171.0	947537.0	1032646.0	711694.0	1542516.0	866952.0	1174932.0	980795.0	1322719.0	1013156.0	701385.0	1241875.0	660176.0	980320.0	1160802.0	1130893.0	916261.0	1259132.0	783087.0	690228.0	1445898.0	881660.0	1147732.0	1165543.0	1264283.0	1187149.0	1507742.0	1034682.0	1202123.0
C8YX87_acuK	Organic sulphur transformation	acuK	7541.0	5256.0	6382.0	4404.0	6163.0	4456.0	9135.0	7200.0	5537.0	3344.0	3578.0	5438.0	4260.0	6277.0	6543.0	7778.0	5448.0	8524.0	6644.0	6606.0	4563.0	6753.0	4479.0	3671.0	5649.0	6182.0	5717.0	5581.0	6501.0	4974.0	4916.0	6328.0	7147.0	4611.0	5648.0	4275.0	4600.0	5474.0	8102.0	5660.0	5691.0	8450.0	5621.0	6234.0	4257.0	5696.0	4434.0	6674.0	5278.0	5832.0	5664.0	7320.0	6260.0	3521.0	5695.0	3331.0	6651.0	5935.0	5658.0	3582.0	5982.0	4705.0	3865.0	8402.0	4737.0	6021.0	8098.0	7371.0	8417.0	9740.0	6406.0	5793.0
C8YX88_acuN	Organic sulphur transformation	acuN	20000.0	18681.0	26277.0	14232.0	21465.0	14859.0	33568.0	19805.0	18074.0	10334.0	16724.0	14664.0	18408.0	24362.0	17895.0	16841.0	19254.0	24542.0	21340.0	18135.0	16319.0	28711.0	15760.0	11707.0	19610.0	15956.0	24879.0	17529.0	18960.0	13686.0	19847.0	15485.0	15826.0	11658.0	22679.0	17314.0	19054.0	18751.0	22005.0	12557.0	16342.0	25816.0	21064.0	17638.0	19862.0	20892.0	12941.0	27994.0	16478.0	17891.0	17847.0	23707.0	19273.0	10807.0	24717.0	11182.0	17996.0	16701.0	25002.0	14904.0	27501.0	15508.0	9927.0	18304.0	14596.0	19469.0	21256.0	23939.0	27175.0	25623.0	21917.0	22504.0
taci:TDSAC_1570_aprA	Dissimilatory sulphur reduction and oxidation	aprA	233037.0	203291.0	247548.0	158010.0	225166.0	150812.0	329597.0	192188.0	177973.0	139394.0	155334.0	186436.0	188523.0	245438.0	194670.0	214653.0	166289.0	259369.0	245171.0	201805.0	185812.0	282487.0	176789.0	134435.0	214468.0	188346.0	219810.0	187163.0	192716.0	161078.0	207963.0	167416.0	176104.0	132962.0	221884.0	184912.0	184736.0	215280.0	250738.0	165539.0	148127.0	254581.0	225403.0	181108.0	198022.0	210908.0	123407.0	306193.0	171132.0	200478.0	199905.0	255622.0	189886.0	129285.0	231313.0	117581.0	169057.0	195450.0	236044.0	173166.0	246595.0	154531.0	112827.0	230602.0	154991.0	180763.0	220633.0	243602.0	250567.0	289687.0	207607.0	214800.0
tbn:TBH_C0421_aprB	Dissimilatory sulphur reduction and oxidation	aprB	3424.0	3420.0	4338.0	2663.0	4210.0	2554.0	5937.0	3419.0	3112.0	2668.0	2692.0	3441.0	3074.0	4829.0	2901.0	3881.0	2551.0	5069.0	4471.0	3642.0	3643.0	4197.0	2826.0	2370.0	3751.0	2918.0	4497.0	4228.0	3725.0	3567.0	4122.0	2736.0	3640.0	2486.0	3864.0	3895.0	3386.0	4324.0	4458.0	3191.0	2111.0	4279.0	4472.0	3786.0	4014.0	3065.0	2085.0	5085.0	2370.0	3733.0	4303.0	4388.0	3719.0	2240.0	4626.0	1952.0	2864.0	3840.0	5198.0	3013.0	4963.0	2379.0	2145.0	4557.0	2988.0	3495.0	4014.0	4750.0	5252.0	4472.0	3615.0	3742.0
tex:Teth514_0285_asrA	Sulphur reduction	asrA	67441.0	58243.0	68008.0	42446.0	63622.0	37554.0	100557.0	49763.0	52624.0	37220.0	40503.0	52170.0	46345.0	66259.0	58353.0	56226.0	45301.0	66453.0	66136.0	53550.0	49699.0	75017.0	48183.0	34680.0	56747.0	49524.0	56994.0	46811.0	55751.0	44364.0	55091.0	43718.0	47277.0	34176.0	60099.0	49453.0	45666.0	53544.0	67202.0	50486.0	37346.0	72484.0	58863.0	49036.0	50221.0	53957.0	34906.0	82152.0	46786.0	53264.0	50010.0	67940.0	52730.0	36810.0	63482.0	33183.0	43910.0	52190.0	62146.0	48205.0	63716.0	37939.0	29742.0	61787.0	41369.0	49655.0	58211.0	62904.0	60152.0	79709.0	51991.0	55093.0
tex:Teth514_0286_asrB	Sulphur reduction	asrB	50846.0	48012.0	52728.0	33976.0	46324.0	30283.0	70425.0	34821.0	38325.0	32163.0	31158.0	37992.0	37444.0	45955.0	38856.0	52369.0	30248.0	55384.0	48855.0	40147.0	32628.0	60239.0	32123.0	31987.0	35744.0	38951.0	42713.0	37497.0	43233.0	33645.0	44931.0	35968.0	39344.0	24831.0	45392.0	36609.0	36172.0	47761.0	54980.0	39822.0	30513.0	59078.0	45702.0	38415.0	42254.0	39400.0	25444.0	65590.0	31449.0	40806.0	36783.0	55462.0	37900.0	28654.0	51583.0	26756.0	35813.0	42307.0	49718.0	36811.0	53413.0	33728.0	21793.0	45652.0	33370.0	34833.0	42302.0	46367.0	43635.0	57270.0	35147.0	41110.0
tex:Teth514_0287_asrC	Sulphur reduction	asrC	47691.0	42144.0	48928.0	29780.0	41517.0	25368.0	66468.0	35802.0	41650.0	30607.0	33511.0	36459.0	35917.0	46492.0	44308.0	47406.0	36210.0	50400.0	49546.0	40648.0	37114.0	54441.0	34182.0	26931.0	46730.0	38159.0	43993.0	34210.0	37655.0	30791.0	44510.0	35600.0	40638.0	26536.0	42191.0	34283.0	34624.0	38882.0	56551.0	35622.0	31278.0	47388.0	43839.0	35519.0	38118.0	38542.0	26202.0	59281.0	36206.0	38087.0	41421.0	51755.0	39851.0	23092.0	42191.0	21707.0	35975.0	43325.0	47637.0	33284.0	50289.0	30102.0	23577.0	47990.0	30607.0	33982.0	44493.0	47047.0	43781.0	51485.0	42252.0	40472.0
1001530.BACE01000027_gene686_betA	Organic sulphur transformation	betA	1303554.0	1115160.0	1281083.0	803515.0	1268213.0	771251.0	1849353.0	1057255.0	1079759.0	760024.0	777303.0	983535.0	931375.0	1223504.0	1249413.0	1312683.0	974123.0	1488360.0	1404691.0	1091562.0	887606.0	1405741.0	946800.0	719586.0	1021109.0	996832.0	1061475.0	966162.0	1040334.0	833589.0	1106715.0	986707.0	1048241.0	744853.0	1089751.0	901357.0	923372.0	1017390.0	1539747.0	1004500.0	846760.0	1439329.0	1183567.0	1012206.0	965314.0	1017011.0	718107.0	1515501.0	893696.0	1173346.0	990998.0	1293203.0	1034083.0	677289.0	1250380.0	644080.0	985507.0	1133539.0	1148449.0	902741.0	1278253.0	780943.0	711363.0	1345789.0	873888.0	1043517.0	1217645.0	1284490.0	1204886.0	1472517.0	1064610.0	1159701.0
1001240.GY21_17245_betB	Organic sulphur transformation	betB	2462434.0	2061204.0	2386061.0	1552075.0	2360815.0	1488944.0	3306525.0	2038753.0	2031571.0	1385402.0	1501377.0	1838445.0	1736334.0	2330313.0	2309337.0	2405540.0	1855039.0	2779958.0	2571929.0	2022277.0	1602483.0	2628924.0	1734477.0	1381687.0	2002579.0	1846372.0	1933796.0	1865948.0	1888664.0	1562091.0	2000153.0	1845022.0	1973057.0	1486334.0	2020051.0	1729427.0	1669415.0	1822366.0	2842408.0	1872948.0	1586986.0	2607425.0	2221109.0	1927995.0	1736511.0	1908265.0	1351079.0	2791221.0	1727237.0	2204255.0	1874667.0	2478971.0	1886513.0	1298646.0	2252479.0	1262898.0	1851059.0	2260821.0	2105874.0	1732128.0	2360783.0	1460129.0	1310140.0	2589579.0	1577378.0	1992087.0	2256763.0	2481788.0	2178578.0	2666363.0	1979104.0	2182605.0
